occupancy_type,group,hifld_source
Single Family Dwelling,Single Family,
Manufactured Home,Manufactured Home,
Unclassified,,
Multi - Family Dwelling,Multi Family,
Retail Trade,Retail,
Professional/Technical Services,Professional Technical Services,Fortune 500 Corporate Headquarters
Entertainment and Recreation,Entertainment/Recreation,
Wholesale Trade,Wholesale,"Ethanol trans loading facilities, Fedex Facilities, Liquified Natural Gas Import Exports and Terminals, Petroleum Ports, Petroleum Terminals, Pumping Stations, Private Non-Retail Shipping Facilities, Public Refrigerated Warehouses"
General Services,Government Services,"Courthouses, EPA Emergency Response Facilities, FDA Office Facilities, Government Financial Processing Centers, Governors Mansions, Major State Government Buildings, Public Health Departments, State Capitol Buildings, UPS Facilities, Veterans Health Administration Medical Facilities"
Religious,Church,All Places of Worship
Personal and Repair Services,Personal & Repair Services,
Pre-K - 12 Schools,Average School,"Private Schools, Public Schools"
Non-Civilian Structures,Government Services,"DOD Sites Boundaries Public, DOD Sites Points Public"
Light,Light Industrial,General Manufacturing Facilities
Medical Office/Clinic,Medical Office,Urgent Care Facilities
Emergency Response,Emergency Response,"Fire Station, Local Emergency Operations Centers, Local Law Enforcement Locations"
Temporary Lodging,Hotel,
Nursing Home,Nursing Home,Nursing Homes
Other Educational Buildings,Average School,"Child Care Centers, Truck Driving Schools"
Colleges/Universities,College/University,"Colleges and Universities, Colleges and Universities campuses, Supplemental Colleges"
Aviation,Heavy Industrial,
Indoor Arena,Entertainment/Recreation,Major Sport Venues
Marine,Heavy Industrial,
Heavy,Heavy Industrial,
Hospital,Hospital,Hospitals
Food/Drugs/Chemicals,Food/Drug/Chemical,"Agricultural Minerals Operations, Bio Diesel Plants, Ethanol plants, Natural Gas Processing Plants, Oil and Natural Gas Platforms, Oil Refinery Polygon, Oil Refineries"
Agriculture,Agricultural,
Theaters,Theater,
Energy Control Monitoring,Heavy Industrial,Power Plants
Community Center,Government Services,
Ground,Heavy Industrial,Solid Waste Landfill Facilities
Institutional Dormitory,Institutional Dormitory,Prison Boundaries
Veterinary/Pet ,Medical Office,
Banks,Bank,"FDIC Insured Banks, NCUA Insured Credit Unions"
Convention Center,Entertainment/Recreation,Convention Centers and State Fairgrounds
Metals/Minerals Processing,Metals/Minerals processing,"Ferrous Metal Mines, Ferrous Metal Process Plants, Mines and Mineral Resources, Miscellaneous Industrial Mineral Operations, Nonferrous Metal Mines, Nonferrous Metal Processing Plants, Sand and Gravel Operations"
