style_key,entity_type,source,role,template_layer_name,group_path,default_visible,priority,variant_of,variant_label,notes,dynamic_categorize_attr
footprint-output,footprint,,output,template_footprint_output,Buildings/openplaces,true,0,,,Curated footprint output (combined; occupancy_type default view).,
footprint-output-roof-shape,footprint,,output,template_footprint_output__roof_shape,Buildings/openplaces,false,1,footprint-output,Roof shape,Column-variant view of the curated footprint output.,
footprint-output-n-stories,footprint,,output,template_footprint_output__n_stories,Buildings/openplaces,false,2,footprint-output,Number of stories,Column-variant view of the curated footprint output.,
footprint-output-occupancy-conflict,footprint,,output,template_footprint_output__occupancy_type_conflict,Buildings/openplaces,false,3,footprint-output,Occupancy type (evidence conflicts),Column-variant view of the curated footprint output; category set varies by which source datasets are available for a given admin unit.,occupancy_type_conflict
footprint-output-priority-on-parcel,footprint,,output,template_footprint_output__priority_on_parcel,Buildings/openplaces,false,4,footprint-output,Priority on parcel,Column-variant view of the curated footprint output.,
footprint-output-geometry-source,footprint,,output,template_footprint_output__geometry_source,Buildings/openplaces,false,5,footprint-output,Geometry source,Column-variant view of the curated footprint output.,
footprint-output-structure-value,footprint,,output,template_footprint_output__structure_value,Buildings/openplaces,false,6,footprint-output,"Structure value (NSI, per area)",Column-variant view of the curated footprint output.,
footprint-output-improvement-value,footprint,,output,template_footprint_output__improvement_value,Buildings/openplaces,false,7,footprint-output,"Improvement value (parcel, per area)",Column-variant view of the curated footprint output.,
parcel-output,parcel,,output,template_parcel_output,Parcels,true,10,,,Curated parcel output prototype (land_use_class).,
footprint-obm,footprint,obm,input,template_footprint_obm_input,Buildings/inputs,false,20,,,Concrete override for source=obm.,
footprint-fema,footprint,fema,input,template_footprint_fema_input,Buildings/inputs,false,21,,,Concrete override for source=fema.,
footprint-microsoft,footprint,microsoft,input,template_footprint_microsoft_input,Buildings/inputs,false,22,,,Concrete override for source=microsoft.,
footprint-ncdps,footprint,ncdps,input,template_footprint_ncdps_input,Buildings/inputs,false,23,,,Concrete override for source=ncdps.,
footprint-input,footprint,,input,template_footprint_obm_input,Buildings/inputs,false,24,,,Wildcard fallback for any other footprint source; reuses the obm prototype.,
dwelling-overture,dwelling,overture,input,template_dwelling_overture_input,Buildings/inputs,false,30,,,Concrete override for source=overture.,
dwelling-input,dwelling,,input,template_dwelling_overture_input,Buildings/inputs,false,31,,,Wildcard fallback for any other dwelling source; reuses the overture prototype.,
building-nsi,building,nsi,input,template_building_nsi_input,Buildings/inputs,false,40,,,Concrete override for source=nsi.,
building-nsi-occupancy-type,building,nsi,input,template_building_nsi_input__occupancy_type,Buildings/inputs,false,41,building-nsi,Occupancy type,Column-variant view of the NSI building input.,
building-input,building,,input,template_building_nsi_input,Buildings/inputs,false,42,,,Wildcard fallback for any other building source; reuses the nsi prototype.,
parcel-nconemap,parcel,nconemap,input,template_parcel_nconemap_input,Parcels,false,50,,,Concrete override for source=nconemap.,
parcel-nconemap-land-use,parcel,nconemap,input,template_parcel_nconemap_input__land_use_type,Parcels,false,51,parcel-nconemap,Land use (detailed),Column-variant view of the nconemap parcel input; category set is specific to nconemap's own raw codes.,use_subgroup
parcel-input,parcel,,input,template_parcel_nconemap_input,Parcels,false,52,,,Wildcard fallback for any other parcel source; reuses the nconemap prototype.,
admin-boundary,admin,,admin,template_admin_boundary,Admin,true,60,,,Administrative boundary context layer.,
basemap-open,,,basemap,template_basemap_open,Basemaps,false,90,,,"Open no-credential CARTO Positron basemap; off by default (Google Roads is default).",
basemap-google-satellite,,,basemap,template_basemap_google_satellite,Basemaps,false,91,,,"Google Satellite; no API key required (informal XYZ tile endpoint), off by default.",
basemap-google-roads,,,basemap,template_basemap_google_roads,Basemaps,true,92,,,"Google Roads; no API key required (informal XYZ tile endpoint); on by default.",
_fallback,,,static,template_fallback,Unstyled,false,999,,,Reserved generic single-symbol fallback for unregistered entity_type/source combinations.,
